"gene_id"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"FBgn0000003"	427.086994844695	-0.00353518946453616	0.0766453246695615	0.00193286828471173	0.964932782754836	0.742015105928875
"FBgn0000008"	735.730386695415	-0.0214744225771307	0.00471890271287902	20.3723393743241	6.37445561552814e-06	1.92670424474708e-05
"FBgn0000014"	3655.98402166497	-0.0161972822315514	0.00258713290196795	38.6219688951385	5.1436690996625e-10	2.75055085748992e-09
"FBgn0000015"	1244.53101208193	-0.0259019085863172	0.00295709661653523	74.8626211662034	5.04634272200127e-18	4.47838623261373e-17
"FBgn0000017"	12106.5036238427	0.0218050041037275	0.00332726021628807	45.9883242194562	1.18959858987082e-11	9.20473381356576e-11
"FBgn0000018"	642.81888686002	0.000655312522613595	0.00313232697950057	0.0433452193136645	0.83507659755629	0.84373042211995
"FBgn0000022"	37.3166161218663	0.00612089084838207	0.015973857225889	0.134171047394005	0.714145957877663	0.584820860929611
"FBgn0000024"	11962.6392837704	0.00700590251117715	0.00668143487168444	1.04914010207921	0.305705212202603	0.53971576236021
"FBgn0000028"	933.083842802363	0.0188359048572959	0.00257708466239307	54.8734440959002	1.28546212372519e-13	8.29210691398083e-13
"FBgn0000032"	977.355693769316	0.0114670116025776	0.00273181875315148	17.7447490084242	2.52613784987428e-05	7.03574937450754e-05
"FBgn0000036"	7263.50213336219	-0.0148334378606086	0.00236447351704412	38.7827916395541	4.73685416925962e-10	3.17933873705538e-09
"FBgn0000037"	3898.04549007371	-0.0122598608285806	0.00323974124764799	14.2453967943619	0.000160452775699318	0.000605609972114822
"FBgn0000038"	7819.80255519599	-0.0380238127110642	0.00232524380925151	250.294674393948	2.23974282193681e-56	1.32120333992656e-54
"FBgn0000039"	2953.85129420789	-0.000912447419866862	0.0023744507169387	0.149602762489991	0.69891526203275	1
"FBgn0000042"	285990.240404224	0.0219636057316474	0.00120561537211722	348.194464953326	1.04790836219659e-77	1.26720801921274e-75
"FBgn0000043"	63220.2052453854	0.00975978304234645	0.000929558793750951	111.962415959664	3.64148315702594e-26	7.94673113048325e-25
