"ENSMUSG"	"row_names"
"ENSMUSG00000018659"	200
"ENSMUSG00000097767"	201
"ENSMUSG00000028124"	202
"ENSMUSG00000022103"	203
"ENSMUSG00000066842"	204
"ENSMUSG00000020122"	205
"ENSMUSG00000069833"	206
"ENSMUSG00000029309"	207
"ENSMUSG00000020802"	208
"ENSMUSG00000074743"	209
"ENSMUSG00000064368"	210
"ENSMUSG00000025789"	211
"ENSMUSG00000025453"	212
"ENSMUSG00000080316"	213
"ENSMUSG00000021614"	214
"ENSMUSG00000040713"	215
"ENSMUSG00000030653"	216
"ENSMUSG00000047370"	217
"ENSMUSG00000018893"	218
"ENSMUSG00000002633"	219
"ENSMUSG00000111394"	220
"ENSMUSG00000020241"	221
"ENSMUSG00000028339"	222
"ENSMUSG00000064367"	223
"ENSMUSG00000033544"	224
"ENSMUSG00000056481"	225
"ENSMUSG00000028664"	226
"ENSMUSG00000022053"	227
"ENSMUSG00000041616"	228
"ENSMUSG00000037016"	229
"ENSMUSG00000020961"	230
"ENSMUSG00000058443"	231
"ENSMUSG00000038402"	232
"ENSMUSG00000027204"	233
"ENSMUSG00000016526"	234
"ENSMUSG00000079297"	235
"ENSMUSG00000038664"	236
"ENSMUSG00000040249"	237
"ENSMUSG00000029922"	238
"ENSMUSG00000035150"	239
"ENSMUSG00000071068"	240
"ENSMUSG00000024529"	241
"ENSMUSG00000018707"	242
"ENSMUSG00000067780"	243
"ENSMUSG00000080921"	244
"ENSMUSG00000042436"	245
"ENSMUSG00000046743"	246
"ENSMUSG00000081094"	247
"ENSMUSG00000043719"	248
"ENSMUSG00000040569"	249
"ENSMUSG00000056174"	250
"ENSMUSG00000022454"	251
"ENSMUSG00000037369"	252
"ENSMUSG00000038587"	253
"ENSMUSG00000043496"	254
"ENSMUSG00000028649"	255
"ENSMUSG00000053930"	256
"ENSMUSG00000083179"	257
"ENSMUSG00000064179"	258
"ENSMUSG00000060419"	259
"ENSMUSG00000021390"	260
"ENSMUSG00000061723"	261
"ENSMUSG00000020866"	262
"ENSMUSG00000083626"	263
"ENSMUSG00000033306"	264
"ENSMUSG00000027009"	265
"ENSMUSG00000031380"	266
