"sample_id"	"sample_group"	"sample_group_color"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"
"A_WT_2044"	"A_WT"	"#F8766D"	-2.19672629425829	1.78202935652136	0.302645258198279	0.507393979952661	-2.00482594419129	1.38177643595999	-0.786406743845615	-0.254399994525465	-2.07246707289463	9.78644248972316e-15
"A_WT_2048"	"A_WT"	"#F8766D"	-2.86201994013793	-7.80293889325495	0.73394682032145	-1.45258824865251	0.288770397381217	1.64577908955219	0.366093496355076	0.738778512598597	0.109228140985603	1.04444447882046e-14
"A_WT_2049"	"A_WT"	"#F8766D"	-1.16631165105484	1.08909589702103	1.28166032161153	-0.843780489243842	-2.74750120904017	0.637074623112221	-0.304270283030277	-1.41041362114041	1.62882477796289	1.02227254439313e-14
"A_WT_2061"	"A_WT"	"#F8766D"	9.51280744699574	1.60958827910209	1.41457640764619	2.18535697995751	-0.468456064935478	1.18267882610855	0.740711930976846	1.16602124556871	0.32484302183376	9.3341133433622e-15
"A_WT_2063"	"A_WT"	"#F8766D"	-1.46551908335381	2.74457465274018	5.08398309006314	-2.9645212070774	1.18010415716356	-1.5393845821637	-0.0922920197843106	0.658128912869845	-0.174530489961875	9.20970114406949e-15
"A_Zfp516_2042"	"A_Zfp516"	"#00BFC4"	-5.6185135846409	1.07992487672453	-1.26900409861886	3.16971587179289	0.907287819153162	-0.400456737700486	-1.62803512701531	1.0863813250143	0.787377120663172	9.99070617901943e-15
"A_Zfp516_2043"	"A_Zfp516"	"#00BFC4"	-4.38923897873103	1.83019794342237	-0.136705383575503	1.93212517469796	2.17291200452718	0.508934314006988	2.04255246328775	-1.10343963009308	-0.119308106368875	8.94033111431547e-15
"A_Zfp516_2045"	"A_Zfp516"	"#00BFC4"	2.2449575197332	-3.99622481755876	-0.32483667175865	1.77062411616228	-1.32984964488159	-3.26013082771498	0.343970150839104	-0.47051695120825	-0.44699604507069	9.95406014558942e-15
"A_Zfp516_2066"	"A_Zfp516"	"#00BFC4"	6.16249533739508	-0.782442440352489	-1.61628770328462	-1.22185953978564	2.73610653304851	0.352436983629195	-1.46006024978975	-1.25168620974408	-0.123857655482572	9.9703231781767e-15
"A_Zfp516_2067"	"A_Zfp516"	"#00BFC4"	-0.221930771947219	2.44619514563464	-5.46997804060295	-3.08246663780391	-0.734548048225092	-0.508708124789973	0.777736382006478	0.841146410659827	0.0868863083332198	9.34444036905513e-15
